"HolderAddress","Balance","PendingBalanceUpdate"
"0x6d1dc634d20268649e1eb6b207960fbc76e57dd7","0.10580983","No"
"0x73f2e04f047931e85b62e4f2652b156199000e14","6575.62702152","No"
"0x7518b19daf8961e11b545a76a191e7bdf8e4f702","213.50063232","No"
"0x7ac7967a354f8e3a1db6b828ac778dff0bd26c7e","4.9194963","No"
"0x7d08394ae1cccc82728e9c01648f37eaa1de8466","31616.72524149","No"
"0x7dadcccef28d71f0dfce6699509f2791dd0c10e7","148169.04041161","No"
"0x86e9bfa8110b4211c0c17d62aebe2e144bc236d0","3094055.9378425","No"
"0x87fc1313880d579039ac48db8b25428ed5f33c4a","93055.50906342","No"
"0x8e817d4007bd09b27f02e167d26d8319cb380b22","247.87469277","No"
"0x971da287666762d75eaf70b4772be32e7f322ba2","21.32848482","No"
"0x9725bdd039fcfe6dee3de5398c3ba06113390aec","64042.94421009","No"
"0x97a23d276e9483e3d0d85b5b8c1e2e59cf02c829","50.38931198","No"
"0x9b6cf4e87f67848b709e041b09a72d4bf48c5814","200357.13350957","No"
"0x9d3997746d940b047c4744e3c68fca0134e6e384","0.08311278","No"
"0xa010322f3eea1004d16e1687777440b78f2e558e","53390.32565755","No"
"0xa4b0a77c312535b8a5863732acc42cfa7b6af9da","61198.08926104","No"
"0xa618bbdcd0c02450bc3dcd3dfbab23c5b69c50f0","5.33888846","No"
"0xa64a417efe53a13d6d68905c0832da56cfc95b41","699720.24080487","No"
"0xa76f6542bff9ab627c578ddffbdf6fca45eb0c9e","12485.5015169","No"
"0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b","0.2641305","No"
"0xb14d56ce29dade0316ea5df06d491636a7c4f3c8","503899.76637382","No"
"0xb1f76a4ad12eceb5e044e01544b8ef13d05446ae","50","No"
"0xb6df6778c14e72007d3f1ede8d74d4079f80cff8","4757.35783768","No"
"0xb70e128f4802ae37fa96ed4159a02bbe82245963","1867141.1462202","No"
"0xb900ee43397bc2829e565dece3518a02f712ec33","7105.78786542","No"
"0xb9761ab8b11f666dccee05466ca145bcfdbbe5f8","89.55537119","No"
"0xb9b1bad1bd633ac448c06433cf2454b57144512a","141.97071894","No"
"0xc0682d80cb3c6bc921f3f4672f814b6b4d476a70","31483.77025932","No"
"0xc07a34cf74e56d29e5ad343bfb58779608e01d74","81603.82066985","No"
"0xc572c95996653ae98ec3a59d9a511eda142b98c1","173039.02538114","No"
"0xc5bc3579f6b3a0a160b6b8c855ac69dbd65f306a","9.17149202","No"
"0xc936c28629fbfd9b67f4cd588f77fa853b6669b0","3166.38913446","No"
"0xc98158374eca1102b51ccc5ced6ce7fa23e28403","67557.21296132","No"
"0xcbcd192c6c08865e3f3a5bbd0c7459e1653c2a15","15601.51586131","No"
"0xcdbcd5e50fd9ffd4afe88064c3f2a5da4a99327e","975.52222211","No"
"0xd762205476ea5649c689a8a703488572c8b3007d","130.11852798","No"
"0xd7ac4581ef4e2bb6cc3734da183b981bfd0ee2a2","455.65173579","No"
"0xdc200f6fa36a0fb8bcb1cd3d78dbd4210c61f65c","26.13741956","No"
"0xdcc3268512e0a7a2cfb0e3acf906b926a976232e","2.20130171","No"
"0xdf9924a483d946e8e2cc50652a6b3907e64edd5d","358093.58167103","No"
"0xe1269c202692f84e64bb7383fa2b8a9093e73380","1938.20258789","No"
"0xe18e779ae480092698c390e849c3ff48088047a1","896359.06150704","No"
"0xe2177b57ddc2387f6ecc2ab93e5ed2066c3059a3","4130.44821332","No"
"0xe22f90bf6e7d3aec1ab69f84854bde2597d637f4","1.06467727","No"
"0xe741f716049de5514e8304b1c666ee2b18f7027e","21.20613835","No"
"0xedf73949ebf2953525c6e5896954fdca3a16554d","528.56991997","No"
"0xee620a0991d57f464aad452789a4564ba51245e8","0.05601455","No"
"0xf2df969f59b2c86e4b230da88918cdebcfc4ccbc","92.49134545","No"
"0xf55d84504217542d4f39d9bf9a70342744836007","0.64196764","No"
"0xf6429a861ae6ffc44467f232fc557ee9d1ea48e3","11045.4932603","No"
"0xf9e9d8f5998ccb5b0892f4590e3e8c8ac5b3e1bf","1290970.61704876","No"
"0xfb0f37c0456d60eded9b64442dfb0c4847cdd06a","1868.35119313","No"
